Time,kWh
4/1/2016 0:00,0.461
4/1/2016 1:00,0.115
4/1/2016 2:00,0.115
4/1/2016 3:00,0.058
4/1/2016 4:00,0.076
4/1/2016 5:00,0.076
4/1/2016 6:00,0.076
4/1/2016 7:00,0.076
4/1/2016 8:00,0.152
4/1/2016 9:00,0
4/1/2016 10:00,0.837
4/1/2016 11:00,0
4/1/2016 12:00,0.047
4/1/2016 13:00,0.093
4/1/2016 14:00,0.093
4/1/2016 15:00,0.047
4/1/2016 16:00,0.093
4/1/2016 17:00,0.093
4/1/2016 18:00,0.28
4/1/2016 19:00,0.373
4/1/2016 20:00,0.749
4/1/2016 21:00,0.115
4/1/2016 22:00,0.115
4/1/2016 23:00,0.115
4/2/2016 0:00,0.115
4/2/2016 1:00,0.115
4/2/2016 2:00,0.115
4/2/2016 3:00,0.115
4/2/2016 4:00,0.611
4/2/2016 5:00,0.094
4/2/2016 6:00,0.094
4/2/2016 7:00,0.094
4/2/2016 8:00,0.188
4/2/2016 9:00,0.235
4/2/2016 10:00,0.188
4/2/2016 11:00,0
4/2/2016 12:00,0.058
4/2/2016 13:00,0.115
4/2/2016 14:00,0.115
4/2/2016 15:00,0.749
4/2/2016 16:00,0.115
4/2/2016 17:00,0.173
4/2/2016 18:00,0.058
4/2/2016 19:00,0.173
4/2/2016 20:00,0.115
4/2/2016 21:00,0.173
4/2/2016 22:00,0.173
4/2/2016 23:00,0.115
4/3/2016 0:00,0.173
4/3/2016 1:00,0.173
4/3/2016 2:00,0.806
4/3/2016 3:00,0.115
4/3/2016 4:00,0.08
4/3/2016 5:00,0.08
4/3/2016 6:00,0.12
4/3/2016 7:00,0.08
4/3/2016 8:00,0.08
4/3/2016 9:00,0.2
4/3/2016 10:00,0.641
4/3/2016 11:00,0.08
4/3/2016 12:00,0.749
4/3/2016 13:00,0.173
4/3/2016 14:00,0.173
4/3/2016 15:00,0.173
4/3/2016 16:00,0.173
4/3/2016 17:00,0.115
4/3/2016 18:00,0.23
4/3/2016 19:00,0.23
4/3/2016 20:00,0.23
4/3/2016 21:00,0.173
4/3/2016 22:00,0.864
4/3/2016 23:00,0.288
4/4/2016 0:00,0.23
4/4/2016 1:00,0.23
4/4/2016 2:00,0.288
4/4/2016 3:00,0.288
4/4/2016 4:00,0.23
4/4/2016 5:00,0.288
4/4/2016 6:00,0.23
4/4/2016 7:00,0.518
4/4/2016 8:00,0.576
4/4/2016 9:00,0.23
4/4/2016 10:00,0.173
4/4/2016 11:00,0.173
4/4/2016 12:00,0.173
4/4/2016 13:00,0.173
4/4/2016 14:00,0.173
4/4/2016 15:00,0.23
4/4/2016 16:00,0.173
4/4/2016 17:00,1.094
4/4/2016 18:00,0.346
4/4/2016 19:00,0.23
4/4/2016 20:00,0.23
4/4/2016 21:00,0.173
4/4/2016 22:00,0.23
4/4/2016 23:00,0.23
4/5/2016 0:00,0.23
